stn,Name,Meereshoehe,E,N,Datenquelle
AGAAR,Aarau,398,2646140.724637534,1248741.1577911314,Kanton Aargau
ARH,Altenrhein,397,2760386.524675656,1261380.5676328933,MeteoSchweiz;MeteoSchweiz
BEZ,Beznau,325,2659813.0049687093,1267696.1363162897,MeteoSchweiz;MeteoSchweiz
BIZ,Bischofszell / Sitterdorf,507,2737713.7091908823,1263611.5809012018,MeteoSchweiz;MeteoSchweiz
BUS,Buchs / Aarau,386,2648395.7453682013,1248369.1440294415,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
CHZ,Cham,442,2677758.784031173,1226877.8577185003,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
DUB,Dübendorf,435,2690210.9075231934,1250774.829805851,Schweizer Armee - Luftwaffe
EBK,Ebnat-Kappel,623,2726347.787277082,1237175.7643432354,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
EIN,Einsiedeln,910,2699982.736903362,1221067.877877735,MeteoSchweiz;MeteoSchweiz
GES,Gersau,521,2682509.671935871,1205570.7975153555,MeteoSchweiz
GUT,Güttingen,440,2738421.728099031,1273961.503073257,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
HAI,Salen-Reutenen,718,2719099.973056421,1279046.493753712,MeteoSchweiz;MeteoSchweiz
HLL,Hallau,419,2677457.1494617104,1283470.7378329409,MeteoSchweiz;MeteoSchweiz
HOE,Hörnli,1132,2713516.8121516956,1247755.8258926186,MeteoSchweiz;MeteoSchweiz
INNSWZ,Schwyz,470,2691911.717468687,1208038.8034154633,inNET Monitoring AG
INNZUG,Zug,420,2681625.7888276726,1224640.833312479,inNET Monitoring AG
KAGOD,Goldau / Tierpark,545,2685022.6634602593,1211613.7803710506,Kachelmannwetter GmbH
KAROT,Schwyz / Rotenflue,1571,2696125.6718680523,1208557.8016211647,Kachelmannwetter GmbH
KASMR,Sattel / Mostelrieter,1217,2692480.7004856863,1213519.8143702932,Kachelmannwetter GmbH
KLO,Zürich / Kloten,426,2682711.019306098,1259337.9086625294,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
KSHIG,Alt St. Johann / Hintergräppelen,1289,2739323.737014729,1230159.79615214,kaltluftseen.ch
LAC,Lachen / Galgenen,468,2707637.783823375,1226333.7911358932,MeteoSchweiz
LAE,Lägern,844,2672251.006294861,1259459.9543778845,MeteoSchweiz;MeteoSchweiz
LEI,Leibstadt,341,2656374.0400255825,1272121.2083153478,MeteoSchweiz;MeteoSchweiz
MMBIR,Lupfig / Flugplatz Birrfeld,393,2659672.8634340023,1255089.0589833264,DTN Schweiz AG
MMBIS,Bisisthal,795,2705747.753455411,1200458.717779446,DTN Schweiz AG
MMHIW,Hinwil,569,2705592.839777833,1240469.7683073652,DTN Schweiz AG
MMKSB,Kirchberg / Schallenberg,768,2719455.778819816,1252802.7446277284,DTN Schweiz AG
MMMAT,Marthalen,411,2691308.1323349937,1275565.7777556404,DTN Schweiz AG
MMMEL,Mels / Heiligkreuz,482,2749713.65915958,1214106.741127361,DTN Schweiz AG
MMRAF,Rafz,432,2684041.17960731,1272683.8979953208,DTN Schweiz AG
MMRIC,Ricken,797,2721669.764510626,1236299.7679724304,DTN Schweiz AG
MMSAX,Sax,475,2752932.5668938234,1233329.757802447,DTN Schweiz AG
MMSSE,Schwyz / Seewen,452,2690119.6949522896,1209676.813369914,DTN Schweiz AG
MMWET,Weisstannen,1012,2744950.6489745313,1206129.730779447,DTN Schweiz AG
MOE,Möhlin,343,2633053.7181776976,1269147.4188573188,MeteoSchweiz;MeteoSchweiz
NABDUE,Dübendorf,432,2688690.904908237,1250879.827627852,Bundesamt für Umwelt
NABRIG,Rigi / Seebodenalp,1031,2677835.7099207914,1213439.8222301146,Bundesamt für Umwelt
NABZUE,Zürich / Kaserne,408,2682450.897919163,1247989.8393709483,Bundesamt für Umwelt
OBR,Oberriet / Kriessern,409,2764170.305785346,1249581.7664548932,MeteoSchweiz;MeteoSchweiz
PFA,"Pfäffikon, ZH",537,2699400.8917414956,1248163.7937292815,MeteoSchweiz;MeteoSchweiz
PSI,Würenlingen / PSI,334,2659355.9686352513,1265380.1257793182,MeteoSchweiz;MeteoSchweiz
QUI,Quinten,419,2734848.697230439,1221277.7148127968,MeteoSchweiz
RAG,Bad Ragaz,496,2756910.691399905,1209349.8378662872,MeteoSchweiz;MeteoSchweiz
REH,Zürich / Affoltern,443,2681432.941615493,1253547.86218069,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
SAG,"Sattel, SZ",790,2690999.7308272473,1215144.816825748,MeteoSchweiz
SHA,Schaffhausen,438,2688703.1457621213,1282802.680021038,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
SMA,Zürich / Fluntern,555,2685116.903085721,1248064.8178205942,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
STG,St. Gallen,775,2747865.5681886715,1254587.5836747924,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
TAE,Aadorf / Tänikon,539,2710517.869357026,1259823.721275904,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
TGALL,Allenwinden,945,2714225.807500516,1249134.817761595,Kanton Thurgau
TGAMR,Amriswil,485,2741040.712811893,1266789.5309744116,Kanton Thurgau
TGARE,Arenenberg,470,2721758.9529404924,1281301.4651438089,Kanton Thurgau
TGBOH,Braunau / Oberhof,630,2723396.849513127,1264337.6312102482,Kanton Thurgau
TGDIE,Diessenhofen,421,2698976.0465655765,1281904.6374215556,Kanton Thurgau
TGDUS,Dussnang,590,2714972.8131808448,1254164.7804330152,Kanton Thurgau
TGEGN,Egnach,415,2746450.671120973,1266569.51761167,Kanton Thurgau
TGERM,Ermatingen,415,2723562.9248724333,1280979.4629495516,Kanton Thurgau
TGFRA,Frauenfeld,391,2709512.9216299257,1270189.6288624126,Kanton Thurgau
TGILL,Illighausen,565,2733082.7969480166,1274157.5171565637,Kanton Thurgau
TGKRE,Kreuzlingen,400,2731538.808196373,1278848.4552359125,Kanton Thurgau
TGLAN,Lanzenneunforn,575,2712467.99223267,1275917.5382252845,Kanton Thurgau
TGLOM,Lommis,469,2717573.8490816103,1264874.636106009,Kanton Thurgau
TGNOL,Nollen,733,2726838.809660297,1261519.6909820386,Kanton Thurgau
TGNUS,Nussbaumen,480,2704218.9915394154,1275707.6347017682,Kanton Thurgau
TGOTT,Ottenberg,665,2727270.8705959776,1271499.5487361522,Kanton Thurgau
TGRIC,Rickenbach,545,2722080.76472289,1256249.7064011937,Kanton Thurgau
TGUSH,Unterstammheim,422,2700524.0342977336,1277304.6907268886,Kanton Thurgau
TGWEI,Weinfelden,423,2723890.8907529674,1269552.5708077976,Kanton Thurgau
TGWIG,Wigoltingen,420,2719427.925262646,1273033.5757168725,Kanton Thurgau
UEB,Uetliberg,854,2679454.8748070323,1245033.8465405074,MeteoSchweiz
WAE,Wädenswil,485,2693847.847592153,1230743.8262152923,MeteoSchweiz;MeteoSchweiz;MeteoSchweiz
WSLALB,Alpthal Bestand,1168,2696848.694842605,1211652.8135545265,Eidg. Forschungsanstalt WSL
WSLLAE,Lägern Turm,689,2669777.973351726,1259026.9905423848,Eidg. Forschungsanstalt WSL
WSLNEB,Neunkirch Bestand,561,2682302.140073085,1282058.7099349718,Eidg. Forschungsanstalt WSL
WSLNEF,Neunkirch Freiland,463,2681662.1441460373,1282698.714384317,Eidg. Forschungsanstalt WSL
WSLOTB,Othmarsingen Bestand,474,2659515.8539801505,1250058.0602462396,Eidg. Forschungsanstalt WSL
WSLOTF,Othmarsingen Freiland,461,2659217.8512362377,1250228.0664570348,Eidg. Forschungsanstalt WSL
WSLSCB,Schänis Bestand,709,2723438.7922864463,1225133.7668367152,Eidg. Forschungsanstalt WSL
WSLSCF,Schänis Freiland,626,2722925.7940330813,1223519.7494376663,Eidg. Forschungsanstalt WSL
WSLUIB,Uitikon Bestand,543,2676731.886023956,1246285.8451026932,Eidg. Forschungsanstalt WSL
WSLUIF,Uitikon Freiland,545,2676764.884661496,1246210.845341159,Eidg. Forschungsanstalt WSL
WSLVOB,Vordemwald Bestand,482,2633932.532930442,1235983.1901858465,Eidg. Forschungsanstalt WSL
WSLVOF,Vordemwald Freiland,486,2635732.5439150007,1235431.1735112288,Eidg. Forschungsanstalt WSL
